"Facility ID","Measure ID","Value","Footnote","Start Date","End Date"
050231,MSPB-1,0.987981,,01/01/2023,12/31/2023
050232,MSPB-1,0.985573,,01/01/2023,12/31/2023
050234,MSPB-1,0.899090,,01/01/2023,12/31/2023
050235,MSPB-1,1.019003,,01/01/2023,12/31/2023
050236,MSPB-1,1.024757,,01/01/2023,12/31/2023
050238,MSPB-1,1.160274,,01/01/2023,12/31/2023
050239,MSPB-1,1.066912,,01/01/2023,12/31/2023
050242,MSPB-1,1.002306,,01/01/2023,12/31/2023
050243,MSPB-1,1.013151,,01/01/2023,12/31/2023
050245,MSPB-1,1.058431,,01/01/2023,12/31/2023
050248,MSPB-1,0.974851,,01/01/2023,12/31/2023
050254,MSPB-1,0.949522,,01/01/2023,12/31/2023
050257,MSPB-1,1.180491,,01/01/2023,12/31/2023
050261,MSPB-1,1.019788,,01/01/2023,12/31/2023
050262,MSPB-1,1.018634,,01/01/2023,12/31/2023
050272,MSPB-1,1.004718,,01/01/2023,12/31/2023
050276,MSPB-1,0.893834,,01/01/2023,12/31/2023
050278,MSPB-1,1.020396,,01/01/2023,12/31/2023
050279,MSPB-1,0.988723,,01/01/2023,12/31/2023
050280,MSPB-1,0.979608,,01/01/2023,12/31/2023
050281,MSPB-1,1.195188,,01/01/2023,12/31/2023
050283,MSPB-1,0.996298,,01/01/2023,12/31/2023
050289,MSPB-1,0.954104,,01/01/2023,12/31/2023
050290,MSPB-1,1.038904,,01/01/2023,12/31/2023
050291,MSPB-1,0.937153,,01/01/2023,12/31/2023
050292,MSPB-1,1.070649,,01/01/2023,12/31/2023
050295,MSPB-1,1.054007,,01/01/2023,12/31/2023
050298,MSPB-1,0.966047,,01/01/2023,12/31/2023
050300,MSPB-1,0.972502,,01/01/2023,12/31/2023
050301,MSPB-1,0.955369,,01/01/2023,12/31/2023
050305,MSPB-1,0.965744,,01/01/2023,12/31/2023
050308,MSPB-1,1.003172,,01/01/2023,12/31/2023
050309,MSPB-1,0.912805,,01/01/2023,12/31/2023
050313,MSPB-1,0.959611,,01/01/2023,12/31/2023
050315,MSPB-1,1.043710,,01/01/2023,12/31/2023
050320,MSPB-1,1.008007,,01/01/2023,12/31/2023
050324,MSPB-1,0.948015,,01/01/2023,12/31/2023
050327,MSPB-1,0.991418,,01/01/2023,12/31/2023
050329,MSPB-1,1.035508,,01/01/2023,12/31/2023
050334,MSPB-1,0.994986,,01/01/2023,12/31/2023
050335,MSPB-1,0.909757,,01/01/2023,12/31/2023
050336,MSPB-1,0.931111,,01/01/2023,12/31/2023
050342,MSPB-1,0.943009,,01/01/2023,12/31/2023
050348,MSPB-1,0.996236,,01/01/2023,12/31/2023
050350,MSPB-1,1.134760,,01/01/2023,12/31/2023
050351,MSPB-1,0.952166,,01/01/2023,12/31/2023
050352,MSPB-1,0.895131,,01/01/2023,12/31/2023
050353,MSPB-1,0.970750,,01/01/2023,12/31/2023
050357,MSPB-1,0.971945,,01/01/2023,12/31/2023
050360,MSPB-1,0.986844,,01/01/2023,12/31/2023
050367,MSPB-1,0.959403,,01/01/2023,12/31/2023
050373,MSPB-1,0.872530,,01/01/2023,12/31/2023
050376,MSPB-1,0.875993,,01/01/2023,12/31/2023
050378,MSPB-1,1.155762,,01/01/2023,12/31/2023
050380,MSPB-1,1.038400,,01/01/2023,12/31/2023
050382,MSPB-1,1.220748,,01/01/2023,12/31/2023
050390,MSPB-1,1.051971,,01/01/2023,12/31/2023
050393,MSPB-1,1.015229,,01/01/2023,12/31/2023
050394,MSPB-1,1.065067,,01/01/2023,12/31/2023
050396,MSPB-1,1.000193,,01/01/2023,12/31/2023
050407,MSPB-1,0.857819,,01/01/2023,12/31/2023
050411,MSPB-1,0.835772,,01/01/2023,12/31/2023
050414,MSPB-1,0.936414,,01/01/2023,12/31/2023
050417,MSPB-1,0.871779,,01/01/2023,12/31/2023
050424,MSPB-1,0.910518,,01/01/2023,12/31/2023
050425,MSPB-1,0.945612,,01/01/2023,12/31/2023
050426,MSPB-1,1.111441,,01/01/2023,12/31/2023
050438,MSPB-1,1.028484,,01/01/2023,12/31/2023
050441,MSPB-1,0.985412,,01/01/2023,12/31/2023
050444,MSPB-1,0.974699,,01/01/2023,12/31/2023
050454,MSPB-1,0.971140,,01/01/2023,12/31/2023
050455,MSPB-1,1.078496,,01/01/2023,12/31/2023
050457,MSPB-1,0.991167,,01/01/2023,12/31/2023
050464,MSPB-1,1.019778,,01/01/2023,12/31/2023
050468,MSPB-1,1.163219,,01/01/2023,12/31/2023
050471,MSPB-1,1.192192,,01/01/2023,12/31/2023
050481,MSPB-1,1.084638,,01/01/2023,12/31/2023
050485,MSPB-1,1.076349,,01/01/2023,12/31/2023
050488,MSPB-1,1.065339,,01/01/2023,12/31/2023
050492,MSPB-1,1.028987,,01/01/2023,12/31/2023
050496,MSPB-1,0.979173,,01/01/2023,12/31/2023
050498,MSPB-1,0.911232,,01/01/2023,12/31/2023
050503,MSPB-1,0.947315,,01/01/2023,12/31/2023
050506,MSPB-1,0.951236,,01/01/2023,12/31/2023
050510,MSPB-1,0.888083,,01/01/2023,12/31/2023
050512,MSPB-1,0.695548,,01/01/2023,12/31/2023
050515,MSPB-1,0.809372,,01/01/2023,12/31/2023
050516,MSPB-1,0.975136,,01/01/2023,12/31/2023
050517,MSPB-1,1.022398,,01/01/2023,12/31/2023
050523,MSPB-1,1.049957,,01/01/2023,12/31/2023
050526,MSPB-1,1.134674,,01/01/2023,12/31/2023
050528,MSPB-1,1.007865,,01/01/2023,12/31/2023
050534,MSPB-1,0.921281,,01/01/2023,12/31/2023
050537,MSPB-1,0.894981,,01/01/2023,12/31/2023
050541,MSPB-1,0.894619,,01/01/2023,12/31/2023
050543,MSPB-1,1.012264,,01/01/2023,12/31/2023
050549,MSPB-1,0.997185,,01/01/2023,12/31/2023
050551,MSPB-1,1.029562,,01/01/2023,12/31/2023
050557,MSPB-1,0.964929,,01/01/2023,12/31/2023
050561,MSPB-1,0.976116,,01/01/2023,12/31/2023
050567,MSPB-1,1.008702,,01/01/2023,12/31/2023
050570,MSPB-1,1.093800,,01/01/2023,12/31/2023
050573,MSPB-1,0.974988,,01/01/2023,12/31/2023
050580,MSPB-1,1.113519,,01/01/2023,12/31/2023
050581,MSPB-1,1.118133,,01/01/2023,12/31/2023
050586,MSPB-1,0.968898,,01/01/2023,12/31/2023
050588,MSPB-1,1.180932,,01/01/2023,12/31/2023
050589,MSPB-1,1.022692,,01/01/2023,12/31/2023
050590,MSPB-1,0.953679,,01/01/2023,12/31/2023
050597,MSPB-1,1.242330,,01/01/2023,12/31/2023
050599,MSPB-1,0.944280,,01/01/2023,12/31/2023
050603,MSPB-1,1.059196,,01/01/2023,12/31/2023
050604,MSPB-1,0.828289,,01/01/2023,12/31/2023
050608,MSPB-1,1.010702,,01/01/2023,12/31/2023
050609,MSPB-1,0.811808,,01/01/2023,12/31/2023
050624,MSPB-1,1.065092,,01/01/2023,12/31/2023
050625,MSPB-1,1.046864,,01/01/2023,12/31/2023
050633,MSPB-1,0.958151,,01/01/2023,12/31/2023
050636,MSPB-1,1.049990,,01/01/2023,12/31/2023
050641,MSPB-1,1.327595,,01/01/2023,12/31/2023
050663,MSPB-1,1.315760,,01/01/2023,12/31/2023
050668,MSPB-1,0.612661,,01/01/2023,12/31/2023
050674,MSPB-1,0.917522,,01/01/2023,12/31/2023
050677,MSPB-1,0.871764,,01/01/2023,12/31/2023
050678,MSPB-1,1.024356,,01/01/2023,12/31/2023
050684,MSPB-1,1.093959,,01/01/2023,12/31/2023
050686,MSPB-1,0.952662,,01/01/2023,12/31/2023
050689,MSPB-1,0.931153,,01/01/2023,12/31/2023
050690,MSPB-1,0.941795,,01/01/2023,12/31/2023
050696,MSPB-1,0.982661,,01/01/2023,12/31/2023
050697,MSPB-1,0.857881,,01/01/2023,12/31/2023
050701,MSPB-1,1.027207,,01/01/2023,12/31/2023
050704,MSPB-1,1.241152,,01/01/2023,12/31/2023
050708,MSPB-1,0.984923,,01/01/2023,12/31/2023
050709,MSPB-1,0.951259,,01/01/2023,12/31/2023
050710,MSPB-1,0.850359,,01/01/2023,12/31/2023
050714,MSPB-1,0.964039,,01/01/2023,12/31/2023
050717,MSPB-1,0.946414,,01/01/2023,12/31/2023
050723,MSPB-1,0.922223,,01/01/2023,12/31/2023
050724,MSPB-1,0.992693,,01/01/2023,12/31/2023
050726,MSPB-1,0.965420,,01/01/2023,12/31/2023
050735,MSPB-1,1.211373,,01/01/2023,12/31/2023
050736,MSPB-1,1.080090,,01/01/2023,12/31/2023
050737,MSPB-1,1.166405,,01/01/2023,12/31/2023
050738,MSPB-1,1.286946,,01/01/2023,12/31/2023
050739,MSPB-1,1.032766,,01/01/2023,12/31/2023
050740,MSPB-1,1.069512,,01/01/2023,12/31/2023
050744,MSPB-1,1.174133,,01/01/2023,12/31/2023
050745,MSPB-1,1.227581,,01/01/2023,12/31/2023
050746,MSPB-1,1.076316,,01/01/2023,12/31/2023
050747,MSPB-1,1.342948,,01/01/2023,12/31/2023
050748,MSPB-1,0.903682,,01/01/2023,12/31/2023
050755,MSPB-1,1.175425,,01/01/2023,12/31/2023
050757,MSPB-1,1.107625,,01/01/2023,12/31/2023
050758,MSPB-1,0.996007,,01/01/2023,12/31/2023
050760,MSPB-1,0.940978,,01/01/2023,12/31/2023
050761,MSPB-1,1.007338,,01/01/2023,12/31/2023
050763,MSPB-1,N/A,1,01/01/2023,12/31/2023
050764,MSPB-1,0.947047,,01/01/2023,12/31/2023
050765,MSPB-1,0.681398,,01/01/2023,12/31/2023
050766,MSPB-1,1.031478,,01/01/2023,12/31/2023
050767,MSPB-1,0.896213,,01/01/2023,12/31/2023
050769,MSPB-1,0.943315,,01/01/2023,12/31/2023
050770,MSPB-1,1.019630,,01/01/2023,12/31/2023
050771,MSPB-1,1.300027,,01/01/2023,12/31/2023
050772,MSPB-1,0.876404,,01/01/2023,12/31/2023
050775,MSPB-1,1.009118,,01/01/2023,12/31/2023
050776,MSPB-1,1.307945,,01/01/2023,12/31/2023
