zip,lat,lon
04856,44.1888,-69.0901
04901,44.5543,-69.6178
04915,44.4354,-69.0148
04938,44.6653,-70.1329
04967,44.7871,-69.4022
04976,44.7772,-69.6976
05009,43.649,-72.3193
05060,43.9444,-72.6726
05089,43.476,-72.411
05156,43.3034,-72.4778
05201,42.8827,-73.1923
05301,42.8574,-72.5933
05353,43.0622,-72.6687
05401,44.484,-73.2199
05478,44.8111,-73.089
05602,44.2641,-72.577
05641,44.1945,-72.4936
05661,44.5543,-72.6026
05701,43.6141,-72.9708
05753,43.9919,-73.1716
05819,44.4272,-72.0051
05855,44.9393,-72.2065
06010,41.6823,-72.9302
06032,41.7284,-72.8415
06040,41.7777,-72.5244
06050,41.666,-72.7784
06066,41.8501,-72.4649
06069,41.8714,-73.4578
06076,41.9661,-72.2899
06102,41.7918,-72.7188
06105,41.7691,-72.701
06106,41.7498,-72.6947
06117,41.79,-72.7457
06226,41.7149,-72.2134
06250,41.7698,-72.2011
06260,41.9185,-71.8968
06320,41.3507,-72.1062
06360,41.5371,-72.0849
06405,41.28,-72.8106
06418,41.3229,-73.08
06450,41.5334,-72.7997
06457,41.5569,-72.6652
06492,41.46,-72.8222
06504,41.3657,-72.9275
06508,41.3082,-72.9282
06516,41.2701,-72.9638
06606,41.2091,-73.2086
06610,41.2005,-73.1688
06706,41.5363,-73.0306
06721,41.5582,-73.0515
06790,41.8131,-73.1156
06810,41.3917,-73.4532
06830,41.0427,-73.6262
06840,41.151,-73.4944
06856,41.1112,-73.4204
06904,41.0534,-73.5387
07002,40.6664,-74.1192
07009,40.8534,-74.2297
07018,40.7558,-74.2198
07030,40.7445,-74.0329
07039,40.7896,-74.3202
07042,40.8131,-74.2165
07047,40.7939,-74.0258
07055,40.8601,-74.1283
07065,40.6087,-74.2819
07094,40.791,-74.0634
07102,40.732,-74.1765
07103,40.737,-74.1964
07109,40.7946,-74.1631
07112,40.7107,-74.2131
07207,40.664,-74.2107
07302,40.7221,-74.0469
07306,40.7321,-74.066
07444,40.9655,-74.3016
07481,40.9978,-74.166
07503,40.897,-74.1573
07601,40.8882,-74.0503
07631,40.8943,-73.9772
07652,40.9477,-74.0672
07666,40.8915,-74.0119
07675,41.0092,-74.0041
07701,40.3584,-74.0681
07728,40.2458,-74.2768
07733,40.3859,-74.174
07740,40.2992,-73.9912
07754,40.2001,-74.0279
07834,40.8897,-74.4844
07840,40.8529,-74.8343
07860,41.0695,-74.8069
07901,40.7149,-74.3642
07922,40.6752,-74.4346
07950,40.8445,-74.4824
07962,40.8673,-74.5783
08012,39.7901,-75.0367
08015,39.9597,-74.5655
08037,39.638,-74.7728
08043,39.8504,-74.9646
08046,40.029,-74.8835
08050,39.705,-74.2604
08053,39.8845,-74.9067
08060,40.0086,-74.7896
08068,39.9712,-74.6676
08084,39.8288,-75.0147
08103,39.9351,-75.1117
08210,39.1378,-74.7806
08244,39.3223,-74.6008
08318,39.5691,-75.163
08360,39.4818,-75.0091
08401,39.3664,-74.4317
08502,40.4483,-74.6557
08534,40.3339,-74.7944
08536,40.3324,-74.5688
08625,40.2805,-74.712
08638,40.251,-74.7627
08690,40.2336,-74.6576
08701,40.085,-74.2042
08724,40.0874,-74.1152
08755,39.9999,-74.2228
08818,40.43,-74.4173
08822,40.518,-74.8453
08854,40.5515,-74.459
08861,40.5176,-74.2754
08865,40.7079,-75.1507
08876,40.588,-74.6874
08901,40.4891,-74.4482
10003,40.7313,-73.9892
10010,40.7375,-73.9813
10016,40.7443,-73.9781
10019,40.7651,-73.9858
10021,40.7685,-73.9588
10029,40.7918,-73.9447
10032,40.8382,-73.942
10035,40.8011,-73.9371
10037,40.8135,-73.9381
10065,40.7651,-73.9638
10075,40.7143,-74.006
10305,40.5973,-74.0768
10310,40.6324,-74.1171
10451,40.8222,-73.9217
10456,40.8316,-73.9099
10457,40.8486,-73.8999
10461,40.8465,-73.841
10467,40.8737,-73.8712
10468,40.8662,-73.9003
10512,41.4432,-73.6815
10536,41.2709,-73.6841
10548,41.2496,-73.9446
10549,41.205,-73.7299
10550,40.9079,-73.838
10567,41.284,-73.8931
10591,41.0897,-73.844
10595,41.0856,-73.7776
10601,41.033,-73.7652
10701,40.9461,-73.8669
10802,40.9115,-73.7824
10901,41.1177,-74.1241
10940,41.4512,-74.4701
10958,41.3627,-74.4435
10960,41.0914,-73.9252
10962,41.0442,-73.9609
10990,41.2656,-74.3604
10993,41.209,-73.9821
10996,41.3945,-73.9737
11030,40.7934,-73.6888
11040,40.7294,-73.6828
11201,40.694,-73.9903
11203,40.6505,-73.9349
11206,40.7012,-73.9436
11209,40.6251,-74.0303
11212,40.6625,-73.9145
11219,40.6336,-73.996
11229,40.6011,-73.9475
11235,40.5839,-73.9536
11237,40.7006,-73.918
11355,40.7536,-73.8226
11373,40.7351,-73.8776
11418,40.6982,-73.8345
11426,40.7347,-73.723
11427,40.7277,-73.7489
11432,40.7119,-73.7944
11542,40.865,-73.6277
11554,40.7149,-73.5561
11571,40.6587,-73.6412
11572,40.6362,-73.6375
11576,40.7984,-73.6477
11691,40.6006,-73.758
11701,40.6842,-73.4171
11706,40.7051,-73.243
11714,40.74,-73.4857
11717,40.7809,-73.2503
11743,40.8676,-73.4102
11746,40.8143,-73.3634
11768,40.9051,-73.3309
11772,40.7609,-72.9871
11777,40.9457,-73.0611
11787,40.8542,-73.2138
11794,40.9257,-73.1409
11795,40.7117,-73.3007
11803,40.7781,-73.4816
11901,40.9262,-72.652
12010,42.9387,-74.1882
12043,42.684,-74.4939
12078,43.0616,-74.3375
12180,42.7287,-73.6683
12208,42.656,-73.7964
12308,42.8179,-73.9206
