https://data.cms.gov/provider-data/ location affected,Downloadable CSV revised file affected,Data Last Updated,Data Last Updated Details
https://data.cms.gov/provider-data/dataset/632h-zaca,Unplanned Hospital Visits - Hospital,6-Aug-25,"Measure ID and description updated: READM-30-HOSPWIDE is now called Hybrid HWR; Data refreshed for Hyrbid HWR, EDAC-30-AMI, EDAC-30-HF, EDAC-30-PN, READM-30-AMI, READM-30-COPD, READM-30-HF, READM-30-HIP-KNEE, READM-30-PN, and READM-30-CABG; Open/Closed List applied"
https://data.cms.gov/provider-data/dataset/cvcs-xecj,Unplanned Hospital Visits - National,6-Aug-25,"Measure ID and description updated: READM-30-HOSPWIDE is now called Hybrid HWR; Data refreshed for Hyrbid HWR, EDAC-30-AMI, EDAC-30-HF, EDAC-30-PN, READM-30-AMI, READM-30-COPD, READM-30-HF, READM-30-HIP-KNEE, READM-30-PN, and READM-30-CABG; Open/Closed List applied"
https://data.cms.gov/provider-data/dataset/4gkm-5ypv,Unplanned Hospital Visits - State,6-Aug-25,"Measure ID and description updated: READM-30-HOSPWIDE is now called Hybrid HWR; Data refreshed for Hyrbid HWR, EDAC-30-AMI, EDAC-30-HF, EDAC-30-PN, READM-30-AMI, READM-30-COPD, READM-30-HF, READM-30-HIP-KNEE, READM-30-PN, and READM-30-CABG; Open/Closed List applied"
https://data.cms.gov/provider-data/dataset/gbq5-7hzr,Value of Care- National,6-Aug-25,Retired dataset
https://data.cms.gov/provider-data/dataset/6qxe-iqz8,Veterans Health Administration Behavioral Health Data,6-Aug-25,No updates
https://data.cms.gov/provider-data/dataset/uyx4-5s7f,Veterans Health Administration Provider Level Data,6-Aug-25,No updates
https://data.cms.gov/provider-data/search?fulltext=vha&theme=Hospitals,Veterans Health Administration Timely and Effective Care Data,6-Aug-25,"Data refreshed for HCP-COVID-19, OP-18b, OP-18c, OP-23, and SEP-1."
https://data.cms.gov/provider-data/dataset/4jcv-atw7,Ambulatory Surgical Measures-Facility,30-Apr-25,ASC-20 was refreshed; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/wue8-3vwe,Ambulatory Surgical Measures-National,30-Apr-25,ASC-20 was refreshed; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/axe7-s95e,Ambulatory Surgical Measures-State,30-Apr-25,ASC-20 was refreshed; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/ynj2-r877,Complications and Deaths- Hospital,30-Apr-25,No updates; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/qqw3-t4ie,Complications and Deaths - National,30-Apr-25,No updates; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/bs2r-24vh,Complications and Deaths- State,30-Apr-25,No updates; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/tqkv-mgxq,Comprehensive Care For Joint Replacement Model - Provider Data,30-Apr-25,No updates; Open/Closed List applied 
https://data.cms.gov/provider-data/dataset/bzsr-4my4,Data Updates,30-Apr-25,Data refreshed
https://data.cms.gov/provider-data/dataset/y9us-9xdf,Footnote Crosswalk,30-Apr-25,No updates
https://data.cms.gov/provider-data/dataset/v6ff-cmgx,Health_Equity_Hospital.csv,30-Apr-25,No updates
https://data.cms.gov/provider-data/dataset/5ryi-3zdn,Health_Equity_State.csv,30-Apr-25,No updates
https://data.cms.gov/provider-data/dataset/anfs-nlq7,Health_Equity_National.csv,30-Apr-25,No updates
https://data.cms.gov/provider-data/dataset/77hc-ibv8,Healthcare Associated Infections - Hospital,30-Apr-25,Data refeshed; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/yd3s-jyhd,Healthcare Associated Infections - National,30-Apr-25,Data refeshed; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/k2ze-bqvw,Healthcare Associated Infections - State,30-Apr-25,Data refeshed; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/yq43-i98g,Hospital-Acquired Condition Reduction Program,30-Apr-25,No updates
https://data.cms.gov/provider-data/dataset/xubh-q36u,Hospital General Information,30-Apr-25,No updates; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/9n3s-kdb3,Hospital Readmissions Reduction Program,30-Apr-25,No updates; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/pudb-wetr,Hospital Value-Based Purchasing (HVBP)- Clinical Care Outcomes Scores,30-Apr-25,No updates; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/su9h-3pvj,Hospital Value-Based Purchasing (HVBP)- Efficiency Scores,30-Apr-25,No updates; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/avtz-f2ge,Hospital Value-Based Purchasing (HVBP)- Patient Experience of Care Domain Scores (HCAHPS),30-Apr-25,No updates; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/dgmq-aat3,Hospital Value-Based Purchasing (HVBP)- Safety,30-Apr-25,No updates; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/ypbt-wvdk,Hospital Value-Based Purchasing (HVBP)- Total Performance Score,30-Apr-25,No updates; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/q9vs-r7wp,Inpatient Psychiatric Facility Quality Measure Data - by Facility,30-Apr-25,IPFQR-HCP COVID-19 refreshed; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/dc76-gh7x,Inpatient Psychiatric Facility Quality Measure Data - by State,30-Apr-25,IPFQR-HCP COVID-19 refreshed; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/s5xg-sys6,Inpatient Psychiatric Facility Quality Measure Data - National,30-Apr-25,IPFQR-HCP COVID-19 refreshed; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/nrdb-3fcy,Maternal Health- by Hospital,30-Apr-25,No updates; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/by6q-6tc4,Maternal Health - by State,30-Apr-25,Dataset temporarily removed
