"State","HBIPS-2 Measure Description","S HBIPS-2 Overall Rate Per 1000","S HBIPS-2 Overall Num","S HBIPS-2 Overall Den","HBIPS-3 Measure Description","S HBIPS-3 Overall Rate Per 1000","S HBIPS-3 Overall Num","S HBIPS-3 Overall Den","SMD Measure Description","S SMD %","SUB-2/-2a Measure Description","S SUB-2 %","S SUB-2a %","SUB-3/-3a Measure Description","S SUB-3 %","S SUB-3a %","TOB-3/-3a Measure Description","S TOB-3 %","S TOB-3a %","TR-1 Measure Description","S TR-1 %","Start Date","End Date","FAPH Measure Description","S FAPH-30 %","S FAPH-7 %","FAPH Measure Start Date","FAPH Measure End Date","MedCont Measure Description","S MedCont %","MedCont Measure Start Date","MedCont Measure End Date","READM-30-IPF Measure Desc","S READM-30-IPF # IPFs Worse","S READM-30-IPF # IPFs Same","S READM-30-IPF # IPFs Better","S READM-30-IPF # IPFs Too Few","READM-30-IPF Start Date","READM-30-IPF End Date","IMM-2 Measure Description","S IMM-2 %","Flu Season Start Date","Flu Season End Date"
MT,Hours of physical-restraint use,0.17,39.79,9731,Hours of seclusion use,0.84,196.15,9731,Screening for metabolic disorders (SMD),86,Alcohol use brief intervention provided or offered,92,95,Alcohol and other drug use disorder treatment provided or offered at discharge,56,21,Tobacco use treatment provided or offered at discharge,92,0,Transition record with specified elements received by discharged patients (TR1),79,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,Not Available,Not Available,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,1,0,1,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),77,10/01/2023,03/31/2024
NC,Hours of physical-restraint use,0.23,4806.78,875799,Hours of seclusion use,0.11,2411.63,875799,Screening for metabolic disorders (SMD),83,Alcohol use brief intervention provided or offered,64,82,Alcohol and other drug use disorder treatment provided or offered at discharge,85,79,Tobacco use treatment provided or offered at discharge,64,25,Transition record with specified elements received by discharged patients (TR1),53,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,58.2,33.3,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,78.6,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,39,1,3,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),77,10/01/2023,03/31/2024
ND,Hours of physical-restraint use,0.17,394.53,95301,Hours of seclusion use,0.85,1951.39,95301,Screening for metabolic disorders (SMD),61,Alcohol use brief intervention provided or offered,56,62,Alcohol and other drug use disorder treatment provided or offered at discharge,57,32,Tobacco use treatment provided or offered at discharge,38,6,Transition record with specified elements received by discharged patients (TR1),66,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,68.5,37.8,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,82.5,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,5,1,0,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),77,10/01/2023,03/31/2024
NE,Hours of physical-restraint use,0.10,275.31,110243,Hours of seclusion use,0.05,123.41,110243,Screening for metabolic disorders (SMD),95,Alcohol use brief intervention provided or offered,72,77,Alcohol and other drug use disorder treatment provided or offered at discharge,82,70,Tobacco use treatment provided or offered at discharge,53,17,Transition record with specified elements received by discharged patients (TR1),80,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,67.2,44.3,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,82.7,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,6,2,1,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),90,10/01/2023,03/31/2024
NH,Hours of physical-restraint use,0.49,1331.57,113240,Hours of seclusion use,1.41,3832.77,113240,Screening for metabolic disorders (SMD),93,Alcohol use brief intervention provided or offered,55,71,Alcohol and other drug use disorder treatment provided or offered at discharge,65,52,Tobacco use treatment provided or offered at discharge,59,20,Transition record with specified elements received by discharged patients (TR1),52,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,78,53.1,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,85.3,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,11,1,0,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),65,10/01/2023,03/31/2024
NJ,Hours of physical-restraint use,0.36,8956.96,1045615,Hours of seclusion use,0.10,2384.81,1045615,Screening for metabolic disorders (SMD),91,Alcohol use brief intervention provided or offered,64,85,Alcohol and other drug use disorder treatment provided or offered at discharge,90,82,Tobacco use treatment provided or offered at discharge,67,23,Transition record with specified elements received by discharged patients (TR1),78,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,61,38.6,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,82.6,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),1,32,1,5,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),86,10/01/2023,03/31/2024
NM,Hours of physical-restraint use,0.10,317.34,127660,Hours of seclusion use,0.07,220.13,127660,Screening for metabolic disorders (SMD),88,Alcohol use brief intervention provided or offered,75,91,Alcohol and other drug use disorder treatment provided or offered at discharge,69,52,Tobacco use treatment provided or offered at discharge,72,36,Transition record with specified elements received by discharged patients (TR1),80,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,62.1,35,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,73,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,8,0,0,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),73,10/01/2023,03/31/2024
NV,Hours of physical-restraint use,0.10,521.79,224957,Hours of seclusion use,0.17,914.56,224957,Screening for metabolic disorders (SMD),72,Alcohol use brief intervention provided or offered,35,77,Alcohol and other drug use disorder treatment provided or offered at discharge,60,55,Tobacco use treatment provided or offered at discharge,36,11,Transition record with specified elements received by discharged patients (TR1),52,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,47.8,26.6,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,69.1,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),8,7,0,1,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),68,10/01/2023,03/31/2024
NY,Hours of physical-restraint use,0.23,12952.15,2393405,Hours of seclusion use,0.17,9657.06,2393405,Screening for metabolic disorders (SMD),84,Alcohol use brief intervention provided or offered,54,74,Alcohol and other drug use disorder treatment provided or offered at discharge,76,59,Tobacco use treatment provided or offered at discharge,47,16,Transition record with specified elements received by discharged patients (TR1),68,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,65.9,46.3,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,82.8,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,67,4,16,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),79,10/01/2023,03/31/2024
OH,Hours of physical-restraint use,0.11,3473.06,1313038,Hours of seclusion use,0.21,6761.94,1313038,Screening for metabolic disorders (SMD),81,Alcohol use brief intervention provided or offered,64,76,Alcohol and other drug use disorder treatment provided or offered at discharge,68,54,Tobacco use treatment provided or offered at discharge,59,15,Transition record with specified elements received by discharged patients (TR1),64,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,59.1,34.5,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,76.6,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,65,1,4,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),75,10/01/2023,03/31/2024
