"Facility ID","Facility Name","Hospital Type","Address","City/Town","State","ZIP Code","County/Parish","Measure ID","Measure Description","Total Cases","Performance Category","Rate","Interval Lower Limit","Interval Upper Limit","Footnote","Start Date","End Date"
330354,ROSWELL PARK CANCER INSTITUTE,Acute Care Hospitals,ELM AND CARLTON STREETS,BUFFALO,NY,14203,ERIE,PCH-37,Surgical treatment complications for localized prostate cancer,Not Available,Not Applicable,Not Available,Not Applicable,Not Applicable,1,07/01/2022,06/30/2023
360242,JAMES CANCER HOSPITAL & SOLOVE RESEARCH INSTITUTE,Acute Care Hospitals,460 WEST TENTH AVENUE,COLUMBUS,OH,43210,FRANKLIN,PCH-30,Admissions for Patients Receiving Outpatient Chemotherapy,1875,No Different than the National Rate,14.0,12.1,15.8,,07/01/2023,06/30/2024
360242,JAMES CANCER HOSPITAL & SOLOVE RESEARCH INSTITUTE,Acute Care Hospitals,460 WEST TENTH AVENUE,COLUMBUS,OH,43210,FRANKLIN,PCH-31,Emergency Department (ED) Visits for Patients Receiving Outpatient Chemotherapy,1875,No Different than the National Rate,6.1,5.0,7.4,,07/01/2023,06/30/2024
360242,JAMES CANCER HOSPITAL & SOLOVE RESEARCH INSTITUTE,Acute Care Hospitals,460 WEST TENTH AVENUE,COLUMBUS,OH,43210,FRANKLIN,PCH-36,30-Day Unplanned Readmission for Cancer Patients,2132,No Different than the National Rate,20.8,19.1,22.5,,10/01/2022,09/30/2023
360242,JAMES CANCER HOSPITAL & SOLOVE RESEARCH INSTITUTE,Acute Care Hospitals,460 WEST TENTH AVENUE,COLUMBUS,OH,43210,FRANKLIN,PCH-37,Surgical treatment complications for localized prostate cancer,Not Available,Not Applicable,Not Available,Not Applicable,Not Applicable,1,07/01/2022,06/30/2023
390196,HOSPITAL OF THE FOX CHASE CANCER CENTER,Acute Care Hospitals,333 COTTMAN AVENUE,PHILADELPHIA,PA,19111,PHILADELPHIA,PCH-30,Admissions for Patients Receiving Outpatient Chemotherapy,445,No Different than the National Rate,11.3,8.7,13.9,,07/01/2023,06/30/2024
390196,HOSPITAL OF THE FOX CHASE CANCER CENTER,Acute Care Hospitals,333 COTTMAN AVENUE,PHILADELPHIA,PA,19111,PHILADELPHIA,PCH-31,Emergency Department (ED) Visits for Patients Receiving Outpatient Chemotherapy,445,No Different than the National Rate,4.5,3.3,5.9,,07/01/2023,06/30/2024
390196,HOSPITAL OF THE FOX CHASE CANCER CENTER,Acute Care Hospitals,333 COTTMAN AVENUE,PHILADELPHIA,PA,19111,PHILADELPHIA,PCH-36,30-Day Unplanned Readmission for Cancer Patients,757,No Different than the National Rate,20.3,17.2,23.4,,10/01/2022,09/30/2023
390196,HOSPITAL OF THE FOX CHASE CANCER CENTER,Acute Care Hospitals,333 COTTMAN AVENUE,PHILADELPHIA,PA,19111,PHILADELPHIA,PCH-37,Surgical treatment complications for localized prostate cancer,36,Not Applicable,53.5,Not Applicable,Not Applicable,,07/01/2022,06/30/2023
450076,"UNIVERSITY OF TEXAS M D ANDERSON CANCER CENTER,THE",Acute Care Hospitals,1515 HOLCOMBE BLVD,HOUSTON,TX,77030,HARRIS,PCH-30,Admissions for Patients Receiving Outpatient Chemotherapy,5788,Worse than the National Rate,14.4,13.2,16.4,,07/01/2023,06/30/2024
450076,"UNIVERSITY OF TEXAS M D ANDERSON CANCER CENTER,THE",Acute Care Hospitals,1515 HOLCOMBE BLVD,HOUSTON,TX,77030,HARRIS,PCH-31,Emergency Department (ED) Visits for Patients Receiving Outpatient Chemotherapy,5788,No Different than the National Rate,6.0,5.2,7.1,,07/01/2023,06/30/2024
450076,"UNIVERSITY OF TEXAS M D ANDERSON CANCER CENTER,THE",Acute Care Hospitals,1515 HOLCOMBE BLVD,HOUSTON,TX,77030,HARRIS,PCH-36,30-Day Unplanned Readmission for Cancer Patients,6412,No Different than the National Rate,20.2,19.3,21.2,,10/01/2022,09/30/2023
450076,"UNIVERSITY OF TEXAS M D ANDERSON CANCER CENTER,THE",Acute Care Hospitals,1515 HOLCOMBE BLVD,HOUSTON,TX,77030,HARRIS,PCH-37,Surgical treatment complications for localized prostate cancer,71,Not Applicable,49.1,Not Applicable,Not Applicable,,07/01/2022,06/30/2023
500138,FRED HUTCHINSON CANCER INSTITUTE,Acute Care Hospitals,825 EASTLAKE AVENUE EAST,SEATTLE,WA,98109,KING,PCH-30,Admissions for Patients Receiving Outpatient Chemotherapy,1977,Better than the National Rate,10.7,9.1,12.4,,07/01/2023,06/30/2024
500138,FRED HUTCHINSON CANCER INSTITUTE,Acute Care Hospitals,825 EASTLAKE AVENUE EAST,SEATTLE,WA,98109,KING,PCH-31,Emergency Department (ED) Visits for Patients Receiving Outpatient Chemotherapy,1977,Worse than the National Rate,6.5,5.4,8.0,,07/01/2023,06/30/2024
500138,FRED HUTCHINSON CANCER INSTITUTE,Acute Care Hospitals,825 EASTLAKE AVENUE EAST,SEATTLE,WA,98109,KING,PCH-36,30-Day Unplanned Readmission for Cancer Patients,92,No Different than the National Rate,25.0,17.3,32.8,,10/01/2022,09/30/2023
500138,FRED HUTCHINSON CANCER INSTITUTE,Acute Care Hospitals,825 EASTLAKE AVENUE EAST,SEATTLE,WA,98109,KING,PCH-37,Surgical treatment complications for localized prostate cancer,Not Available,Not Applicable,Not Available,Not Applicable,Not Applicable,5,07/01/2022,06/30/2023
